timestamp ba_x ba_y ba_z bg_x bg_y bg_z
401.388000 1.27498836 -0.08521001 0.09250659 -0.00038061 0.00098995 -0.00010162
402.032000 1.27260004 -0.08379858 0.09267282 -0.00031800 0.00095988 -0.00014860
402.176000 1.27434454 -0.08337059 0.09231414 -0.00037151 0.00100488 -0.00012207
402.696000 1.27633062 -0.08534284 0.09232617 -0.00036404 0.00101869 -0.00021302
403.040000 1.28021244 -0.08551376 0.09298457 -0.00035999 0.00098368 -0.00009313
404.200000 1.27687868 -0.08374629 0.09177355 -0.00046571 0.00099415 -0.00034905
404.568000 1.28318524 -0.08605562 0.09287079 -0.00050361 0.00096692 -0.00020189
405.900000 1.23079108 -0.05046934 0.08435764 -0.00043423 0.00098952 -0.00014436
406.904000 1.22662975 -0.04534335 0.08346048 -0.00040847 0.00100259 -0.00006537
407.632000 1.22588881 -0.04590488 0.08327346 -0.00050097 0.00101764 0.00001316
408.224000 1.24545720 -0.06960328 0.08632364 -0.00050168 0.00098517 0.00003400
408.328000 1.24409423 -0.06795257 0.08585377 -0.00049239 0.00098178 0.00008406
408.632000 1.24363299 -0.06751538 0.08574840 -0.00051515 0.00097707 0.00013338
408.952000 1.22925245 -0.05683571 0.08373010 -0.00055049 0.00097743 0.00020734
410.036000 1.22029512 -0.04605631 0.08236978 -0.00064740 0.00100046 0.00025866
410.324000 1.22202646 -0.05041624 0.08297502 -0.00066541 0.00099011 0.00028840
410.516000 1.22599406 -0.05266400 0.08343625 -0.00061635 0.00099239 0.00024422
410.812000 1.21939034 -0.05244019 0.08334627 -0.00066929 0.00094116 0.00029193
411.812000 1.31750868 -0.09415566 0.09539002 -0.00069775 0.00106588 0.00039943
413.044000 1.15220149 -0.02991282 0.07664721 -0.00069919 0.00111675 0.00041784
413.588000 1.13392537 -0.02292879 0.07513089 -0.00072495 0.00116611 0.00042625
413.720000 1.12896837 -0.01668162 0.07475186 -0.00075548 0.00115672 0.00044143
414.012000 0.98284169 0.04637843 0.05436060 -0.00077639 0.00124678 0.00043863
414.416000 1.08504597 0.00282511 0.06896831 -0.00077809 0.00118288 0.00046609
415.784000 0.98776632 0.05633358 0.05442981 -0.00076279 0.00116176 0.00054406
416.008000 0.98198694 0.06265372 0.05353695 -0.00078203 0.00116304 0.00058295
416.344000 0.96230515 0.07493639 0.05066850 -0.00081555 0.00121019 0.00058986
416.800000 0.93058915 0.07312184 0.04705867 -0.00088279 0.00111917 0.00079882
417.412000 0.94905845 0.06497274 0.04937102 -0.00085071 0.00115187 0.00090952
418.004000 0.96923134 0.04753066 0.05235940 -0.00087574 0.00114480 0.00092741
418.232000 0.95323532 0.06693846 0.05027520 -0.00088409 0.00116380 0.00092317
418.604000 0.96164676 0.05489668 0.05132343 -0.00089650 0.00117959 0.00090029
418.736000 0.95477595 0.05630276 0.05047953 -0.00091434 0.00117759 0.00091745
420.256000 0.95734905 0.05337546 0.05068424 -0.00097317 0.00118114 0.00083082
421.072000 0.96387489 0.04812280 0.05169560 -0.00098101 0.00118586 0.00075923
421.764000 0.95692185 0.05212971 0.05103504 -0.00101105 0.00119261 0.00092182
422.008000 0.96036804 0.05334217 0.05139659 -0.00101954 0.00118202 0.00101398
422.400000 0.95874890 0.05595137 0.05103520 -0.00105145 0.00118360 0.00100802
422.940000 0.96266951 0.05472824 0.05156261 -0.00105754 0.00117698 0.00098215
423.888000 0.96474476 0.05138630 0.05194036 -0.00103877 0.00118343 0.00093379
424.168000 0.96714229 0.04791526 0.05231513 -0.00103435 0.00118449 0.00089764
424.708000 0.96152422 0.05111673 0.05149931 -0.00104547 0.00119246 0.00079169
425.400000 0.96235961 0.04939372 0.05170582 -0.00107449 0.00118403 0.00070156
426.056000 0.95407285 0.05667799 0.05065932 -0.00111164 0.00119257 0.00073751
426.292000 0.95533903 0.05403295 0.05085355 -0.00112792 0.00118866 0.00074328
426.784000 0.95193857 0.05582157 0.05035846 -0.00112665 0.00119713 0.00069052
427.700000 0.95464731 0.05225078 0.05087867 -0.00110735 0.00120667 0.00055775
428.076000 0.95091400 0.05138422 0.05046142 -0.00112598 0.00120791 0.00054143
429.968000 0.95584858 0.04927147 0.05123072 -0.00117927 0.00122337 0.00067452
431.000000 0.95966760 0.04618246 0.05177658 -0.00120205 0.00123438 0.00081531
431.576000 0.96048141 0.04648999 0.05185044 -0.00119757 0.00124172 0.00085988
431.816000 0.95699461 0.04762830 0.05139813 -0.00118116 0.00125123 0.00080839
432.328000 0.95685123 0.04904001 0.05128670 -0.00120534 0.00124715 0.00080461
